Combination,MSE_Test,R2_Test
"('binCount0_OPCN3', 'rejectCountGlitch_OPCN3', 'binCount1_OPCN3')",1.6122502628319288,0.9111704523590942
"('binCount0_OPCN3', 'rejectCountGlitch_OPCN3', 'pm10_OPCN3')",1.5391408073218964,0.9151985365907704
"('binCount0_OPCN3', 'pm1_OPCN3', 'pm2_5_OPCN3')",1.2959827920095706,0.9285957225012968
"('binCount0_OPCN3', 'pm1_OPCN3', 'binCount3_OPCN3')",1.391644085869572,0.9233251080959366
"('binCount0_OPCN3', 'pm1_OPCN3', 'temperature_OPCN3')",0.99535081,0.9451595299985203
"('binCount0_OPCN3', 'pm1_OPCN3', 'humidity_OPCN3')",0.8187415879844031,0.9548901020070524
"('binCount0_OPCN3', 'pm1_OPCN3', 'binCount1_OPCN3')",1.2398268035841105,0.9316897279197853
"('binCount0_OPCN3', 'pm1_OPCN3', 'pm10_OPCN3')",1.512428067188808,0.9166703184083794
"('binCount0_OPCN3', 'pm2_5_OPCN3', 'binCount3_OPCN3')",1.5288183017286476,0.9157672718073232
"('binCount0_OPCN3', 'pm2_5_OPCN3', 'temperature_OPCN3')",0.8126957171719539,0.9552232090821424
"('binCount0_OPCN3', 'pm2_5_OPCN3', 'humidity_OPCN3')",0.770916608,0.9575250969539476
"('binCount0_OPCN3', 'pm2_5_OPCN3', 'binCount1_OPCN3')",1.2739852157596896,0.9298077147040712
"('binCount0_OPCN3', 'pm2_5_OPCN3', 'pm10_OPCN3')",1.7793679508126747,0.9019628318250164
"('binCount0_OPCN3', 'binCount3_OPCN3', 'temperature_OPCN3')",0.9200377143929511,0.9493090273475624
"('binCount0_OPCN3', 'binCount3_OPCN3', 'humidity_OPCN3')",0.895749056,0.9506472504262476
"('binCount0_OPCN3', 'binCount3_OPCN3', 'binCount1_OPCN3')",1.6404386815548821,0.9096173656320534
"('binCount0_OPCN3', 'binCount3_OPCN3', 'pm10_OPCN3')",1.8178113040226682,0.8998447328213015
"('binCount0_OPCN3', 'temperature_OPCN3', 'humidity_OPCN3')",0.8459460070698044,0.9533912303387388
"('binCount0_OPCN3', 'temperature_OPCN3', 'binCount1_OPCN3')",1.3027277052064146,0.9282241005503098
"('binCount0_OPCN3', 'temperature_OPCN3', 'pm10_OPCN3')",1.2436897997295786,0.9314768898709717
"('binCount0_OPCN3', 'humidity_OPCN3', 'binCount1_OPCN3')",1.100674077260707,0.939356573
"('binCount0_OPCN3', 'humidity_OPCN3', 'pm10_OPCN3')",1.0209939093686404,0.9437466817626496
"('binCount0_OPCN3', 'binCount1_OPCN3', 'pm10_OPCN3')",1.4079296696495016,0.9224278273985229
