Combination,MSE_Test,R2_Test
"('binCount0_OPCN3',)",2.120612632736542,0.8719216952369693
"('pm1_OPCN3',)",2.970317232773469,0.8206022213066264
"('rejectCountRatio_OPCN3',)",2.6243831314163955,0.8414955483469171
"('binCount1_OPCN3',)",3.513132112961204,0.787817917
"('pressure_BME280_centralNodeRetime',)",12.785874115403477,0.22777358941733616
"('altitude_BME280_centralNodeRetime',)",12.77885441865635,0.2281975569281599
"('temperature_BME280_centralNodeRetime',)",7.085078509258325,0.5720836372610985
"('humidity_BME280_centralNodeRetime',)",11.128312045092917,0.32788510282038363
"('pm2_5_OPCN3',)",5.412752782507403,0.6730868288800514
"('binCount0_OPCN3', 'pm1_OPCN3')",1.652591422,0.9001886980270299
"('binCount0_OPCN3', 'rejectCountRatio_OPCN3')",1.6605810028660999,0.8997061526063225
"('binCount0_OPCN3', 'binCount1_OPCN3')",1.464708854476466,0.9115362116792346
"('binCount0_OPCN3', 'pressure_BME280_centralNodeRetime')",0.9679810091868529,0.9415370045497308
"('binCount0_OPCN3', 'altitude_BME280_centralNodeRetime')",1.1551037939211282,0.9302353794055025
"('binCount0_OPCN3', 'temperature_BME280_centralNodeRetime')",1.1486212901599238,0.9306269021567763
"('binCount0_OPCN3', 'humidity_BME280_centralNodeRetime')",1.2075127856512111,0.9270700418462017
"('binCount0_OPCN3', 'pm2_5_OPCN3')",1.6473032930720715,0.9005080843383616
"('pm1_OPCN3', 'rejectCountRatio_OPCN3')",2.152569605349831,0.8699915950317343
"('pm1_OPCN3', 'binCount1_OPCN3')",2.288848701550985,0.8617607680779413
"('pm1_OPCN3', 'pressure_BME280_centralNodeRetime')",1.3369780780995573,0.9192507471167176
"('pm1_OPCN3', 'altitude_BME280_centralNodeRetime')",1.3173586172745304,0.9204357005797136
"('pm1_OPCN3', 'temperature_BME280_centralNodeRetime')",1.7462010775089138,0.8945349705409847
"('pm1_OPCN3', 'humidity_BME280_centralNodeRetime')",1.1455664533320054,0.9308114046520494
"('pm1_OPCN3', 'pm2_5_OPCN3')",1.9964755219647823,0.8794191846230013
"('rejectCountRatio_OPCN3', 'binCount1_OPCN3')",1.5390489048503442,0.9070463074501922
"('rejectCountRatio_OPCN3', 'pressure_BME280_centralNodeRetime')",1.4165652660065566,0.9144439323544991
"('rejectCountRatio_OPCN3', 'altitude_BME280_centralNodeRetime')",1.5911062675061414,0.9039022071763082
"('rejectCountRatio_OPCN3', 'temperature_BME280_centralNodeRetime')",1.396247008423776,0.9156710909344151
"('rejectCountRatio_OPCN3', 'humidity_BME280_centralNodeRetime')",1.2162900906090424,0.9265399203511051
"('rejectCountRatio_OPCN3', 'pm2_5_OPCN3')",1.9150611021411375,0.8843363584214153
"('binCount1_OPCN3', 'pressure_BME280_centralNodeRetime')",1.8044929266954377,0.8910143269731503
"('binCount1_OPCN3', 'altitude_BME280_centralNodeRetime')",1.9306703877557017,0.883393607
"('binCount1_OPCN3', 'temperature_BME280_centralNodeRetime')",1.8328996553225598,0.8892986502907332
"('binCount1_OPCN3', 'humidity_BME280_centralNodeRetime')",1.7124409390217503,0.8965739762694478
"('binCount1_OPCN3', 'pm2_5_OPCN3')",3.094570725,0.813097703
"('pressure_BME280_centralNodeRetime', 'altitude_BME280_centralNodeRetime')",12.791679600981121,0.22742295642589194
"('pressure_BME280_centralNodeRetime', 'temperature_BME280_centralNodeRetime')",3.3245757132721647,0.799206128
"('pressure_BME280_centralNodeRetime', 'humidity_BME280_centralNodeRetime')",4.843212347708676,0.707485272
"('pressure_BME280_centralNodeRetime', 'pm2_5_OPCN3')",2.2365018563792667,0.8649223521814156
"('altitude_BME280_centralNodeRetime', 'temperature_BME280_centralNodeRetime')",2.754147316691749,0.833658201
"('altitude_BME280_centralNodeRetime', 'humidity_BME280_centralNodeRetime')",4.0298202652488015,0.756611585
"('altitude_BME280_centralNodeRetime', 'pm2_5_OPCN3')",2.3796509608360523,0.856276598
"('temperature_BME280_centralNodeRetime', 'humidity_BME280_centralNodeRetime')",3.229855313853363,0.8049269409970553
"('temperature_BME280_centralNodeRetime', 'pm2_5_OPCN3')",2.419639879551983,0.8538613940490737
"('humidity_BME280_centralNodeRetime', 'pm2_5_OPCN3')",3.224018606223223,0.8052794597018511
"('binCount0_OPCN3', 'pm1_OPCN3', 'rejectCountRatio_OPCN3')",1.4460005392288071,0.9126661348273395
"('binCount0_OPCN3', 'pm1_OPCN3', 'binCount1_OPCN3')",1.2529213745093024,0.9243275065086088
"('binCount0_OPCN3', 'pm1_OPCN3', 'pressure_BME280_centralNodeRetime')",0.5623628036402486,0.9660350629624036
"('binCount0_OPCN3', 'pm1_OPCN3', 'altitude_BME280_centralNodeRetime')",0.434414727,0.9737627226380547
"('binCount0_OPCN3', 'pm1_OPCN3', 'temperature_BME280_centralNodeRetime')",0.9460472909924846,0.9428617318479265
"('binCount0_OPCN3', 'pm1_OPCN3', 'humidity_BME280_centralNodeRetime')",0.7135587675119798,0.9569033043183394
"('binCount0_OPCN3', 'pm1_OPCN3', 'pm2_5_OPCN3')",0.9284978067060169,0.9439216652663065
"('binCount0_OPCN3', 'rejectCountRatio_OPCN3', 'binCount1_OPCN3')",1.185661535686791,0.928389788
"('binCount0_OPCN3', 'rejectCountRatio_OPCN3', 'pressure_BME280_centralNodeRetime')",0.7745480444563567,0.9532197446341368
"('binCount0_OPCN3', 'rejectCountRatio_OPCN3', 'altitude_BME280_centralNodeRetime')",0.6009826719457575,0.9637025449030548
"('binCount0_OPCN3', 'rejectCountRatio_OPCN3', 'temperature_BME280_centralNodeRetime')",0.9969963992036137,0.9397845666419224
"('binCount0_OPCN3', 'rejectCountRatio_OPCN3', 'humidity_BME280_centralNodeRetime')",0.7573286901414003,0.9542597392449997
"('binCount0_OPCN3', 'rejectCountRatio_OPCN3', 'pm2_5_OPCN3')",1.5046107473084305,0.9091262633879433
"('binCount0_OPCN3', 'binCount1_OPCN3', 'pressure_BME280_centralNodeRetime')",0.5880858106789397,0.9644814745870144
"('binCount0_OPCN3', 'binCount1_OPCN3', 'altitude_BME280_centralNodeRetime')",0.9764253618532466,0.9410269923213602
"('binCount0_OPCN3', 'binCount1_OPCN3', 'temperature_BME280_centralNodeRetime')",0.6656282880048469,0.9597981538853868
"('binCount0_OPCN3', 'binCount1_OPCN3', 'humidity_BME280_centralNodeRetime')",1.3570701109392127,0.9180372517967235
"('binCount0_OPCN3', 'binCount1_OPCN3', 'pm2_5_OPCN3')",1.1992827902606842,0.9275671075721877
"('binCount0_OPCN3', 'pressure_BME280_centralNodeRetime', 'altitude_BME280_centralNodeRetime')",1.0250874426694254,0.9380879563461123
"('binCount0_OPCN3', 'pressure_BME280_centralNodeRetime', 'temperature_BME280_centralNodeRetime')",0.4598718656126518,0.9722251918871794
