Combination,MSE_Test,R2_Test
"('Reject Count Ratio',)",2.6243831314163955,0.8414955483469171
"('PM1_OPCN3',)",2.970317232773469,0.8206022213066264
"('Bin 0',)",2.120612632736542,0.8719216952369693
"('Reject Count Glitch',)",9.629385684120999,0.4184155204526514
"('Bin 1',)",3.513132112961204,0.787817917
"('OPCN3 Interior Temperature',)",7.195053350775144,0.5654415042045389
"('Ambient Temperature',)",7.085078509258325,0.5720836372610985
"('Bin 3',)",7.153475048950626,0.567952702
"('OPCN3 Interior Humidity',)",12.350866063976614,0.25404670168920096
"('Bin 2',)",5.421578697638116,0.6725537714840548
"('Reject Count Ratio', 'PM1_OPCN3')",2.199700558963581,0.8671450343032318
"('Reject Count Ratio', 'Bin 0')",1.440645435110986,0.9129895662012038
"('Reject Count Ratio', 'Reject Count Glitch')",1.8345499987411296,0.8891989747610942
"('Reject Count Ratio', 'Bin 1')",1.5390489048503442,0.9070463074501922
"('Reject Count Ratio', 'OPCN3 Interior Temperature')",1.4377621535552183,0.9131637072999205
"('Reject Count Ratio', 'Ambient Temperature')",1.396247008423776,0.9156710909344151
"('Reject Count Ratio', 'Bin 3')",1.6742632627548497,0.8988797873263906
"('Reject Count Ratio', 'OPCN3 Interior Humidity')",0.9151744007047313,0.9447263569049261
"('Reject Count Ratio', 'Bin 2')",1.4954323648427166,0.9096806086976562
"('PM1_OPCN3', 'Bin 0')",1.410678249301738,0.9147994895684971
"('PM1_OPCN3', 'Reject Count Glitch')",1.7030310987310284,0.897142301
"('PM1_OPCN3', 'Bin 1')",2.288848701550985,0.8617607680779413
"('PM1_OPCN3', 'OPCN3 Interior Temperature')",1.5854547995379313,0.904243538
"('PM1_OPCN3', 'Ambient Temperature')",1.7462010775089138,0.8945349705409847
"('PM1_OPCN3', 'Bin 3')",1.851403951217901,0.8881810492670845
"('PM1_OPCN3', 'OPCN3 Interior Humidity')",0.9587845773933924,0.9420924399818282
"('PM1_OPCN3', 'Bin 2')",2.0027863627998994,0.8790380297702415
"('Bin 0', 'Reject Count Glitch')",1.7551342542463007,0.8939954348827459
"('Bin 0', 'Bin 1')",1.464708854476466,0.9115362116792346
"('Bin 0', 'OPCN3 Interior Temperature')",1.0467101188822077,0.9367820150011344
"('Bin 0', 'Ambient Temperature')",1.1486212901599238,0.9306269021567763
"('Bin 0', 'Bin 3')",1.7020772311664456,0.8971999114886745
"('Bin 0', 'OPCN3 Interior Humidity')",0.897022881,0.9458226513845382
"('Bin 0', 'Bin 2')",1.7863266840466319,0.8921115106484973
"('Reject Count Glitch', 'Bin 1')",2.478329796143164,0.8503167084673502
"('Reject Count Glitch', 'OPCN3 Interior Temperature')",1.0756979492455438,0.9350312416093418
"('Reject Count Glitch', 'Ambient Temperature')",1.0516582416114046,0.9364831640176349
"('Reject Count Glitch', 'Bin 3')",4.007604518380617,0.7579533456742258
"('Reject Count Glitch', 'OPCN3 Interior Humidity')",5.399513198191331,0.6738864579536468
"('Reject Count Glitch', 'Bin 2')",3.2649504369256586,0.8028073064163874
"('Bin 1', 'OPCN3 Interior Temperature')",1.6534777917171561,0.9001351641232238
"('Bin 1', 'Ambient Temperature')",1.8328996553225598,0.8892986502907332
"('Bin 1', 'Bin 3')",3.101150537627348,0.8127003029489084
"('Bin 1', 'OPCN3 Interior Humidity')",1.6197615601379296,0.9021715180131337
"('Bin 1', 'Bin 2')",3.013741754805841,0.817979517
"('OPCN3 Interior Temperature', 'Ambient Temperature')",6.005247612943954,0.6373020126002171
"('OPCN3 Interior Temperature', 'Bin 3')",2.828951349892446,0.8291402741085498
"('OPCN3 Interior Temperature', 'OPCN3 Interior Humidity')",2.841128344604249,0.8284048220907132
"('OPCN3 Interior Temperature', 'Bin 2')",2.016173032250889,0.8782295172190864
"('Ambient Temperature', 'Bin 3')",2.8401046951231863,0.828466647
"('Ambient Temperature', 'OPCN3 Interior Humidity')",3.0213610309033245,0.8175193371286227
"('Ambient Temperature', 'Bin 2')",2.1347763550412946,0.8710662511478778
"('Bin 3', 'OPCN3 Interior Humidity')",4.462412942544531,0.7304843534313146
"('Bin 3', 'Bin 2')",4.502926770746216,0.7280374461765764
"('OPCN3 Interior Humidity', 'Bin 2')",2.6267696215951846,0.8413514118781843
"('Reject Count Ratio', 'PM1_OPCN3', 'Bin 0')",1.2629043023591981,0.9237245691989615
"('Reject Count Ratio', 'PM1_OPCN3', 'Reject Count Glitch')",1.6306909098515405,0.9015114198123251
"('Reject Count Ratio', 'PM1_OPCN3', 'Bin 1')",1.265487318055713,0.9235685632097116
"('Reject Count Ratio', 'PM1_OPCN3', 'OPCN3 Interior Temperature')",1.2842204873552887,0.922437139
"('Reject Count Ratio', 'PM1_OPCN3', 'Ambient Temperature')",1.5215773782300408,0.9081015324717762
"('Reject Count Ratio', 'PM1_OPCN3', 'Bin 3')",1.1359902225572256,0.9313897787429698
"('Reject Count Ratio', 'PM1_OPCN3', 'OPCN3 Interior Humidity')",0.7161245490977481,0.9567483392149422
"('Reject Count Ratio', 'PM1_OPCN3', 'Bin 2')",1.1665308027216768,0.9295452241677692
"('Reject Count Ratio', 'Bin 0', 'Reject Count Glitch')",1.256029698681292,0.9241397735467012
"('Reject Count Ratio', 'Bin 0', 'Bin 1')",1.1869945447011263,0.9283092787898273
"('Reject Count Ratio', 'Bin 0', 'OPCN3 Interior Temperature')",0.7515308027143092,0.9546099133321504
"('Reject Count Ratio', 'Bin 0', 'Ambient Temperature')",0.7432562786020703,0.9551096684522775
"('Reject Count Ratio', 'Bin 0', 'Bin 3')",1.1993919039049048,0.9275605174527276
"('Reject Count Ratio', 'Bin 0', 'OPCN3 Interior Humidity')",0.6698536351293342,0.959542956
"('Reject Count Ratio', 'Bin 0', 'Bin 2')",1.2212227234726925,0.9262420049065576
"('Reject Count Ratio', 'Reject Count Glitch', 'Bin 1')",1.390976571288538,0.915989409
"('Reject Count Ratio', 'Reject Count Glitch', 'OPCN3 Interior Temperature')",0.48982317003372383,0.9704162277055683
"('Reject Count Ratio', 'Reject Count Glitch', 'Ambient Temperature')",0.5967217956028359,0.9639598883755881
"('Reject Count Ratio', 'Reject Count Glitch', 'Bin 3')",1.4606145360705876,0.9117834955784672
"('Reject Count Ratio', 'Reject Count Glitch', 'OPCN3 Interior Humidity')",0.6265562990511706,0.962157979
"('Reject Count Ratio', 'Reject Count Glitch', 'Bin 2')",1.1794488034835444,0.9287650177250808
"('Reject Count Ratio', 'Bin 1', 'OPCN3 Interior Temperature')",1.0741568478215795,0.9351243192675629
"('Reject Count Ratio', 'Bin 1', 'Ambient Temperature')",0.8512382495535983,0.9485878984830987
"('Reject Count Ratio', 'Bin 1', 'Bin 3')",1.1319023253905525,0.9316366748196367
"('Reject Count Ratio', 'Bin 1', 'OPCN3 Interior Humidity')",0.5822197476629589,0.9648357662643917
"('Reject Count Ratio', 'Bin 1', 'Bin 2')",1.299890990248862,0.92149069
"('Reject Count Ratio', 'OPCN3 Interior Temperature', 'Ambient Temperature')",1.2077392984085862,0.9270563611911288
"('Reject Count Ratio', 'OPCN3 Interior Temperature', 'Bin 3')",0.9088552918383583,0.945108011
"('Reject Count Ratio', 'OPCN3 Interior Temperature', 'OPCN3 Interior Humidity')",0.46758375349112563,0.9717594182184057
"('Reject Count Ratio', 'OPCN3 Interior Temperature', 'Bin 2')",1.2400360253908844,0.9251057408951677
